date,price
2024-04-09,30.5150
2024-04-10,30.4420
2024-04-11,30.6240
2024-04-12,30.3770
2024-04-15,30.2880
2024-04-16,29.7150
2024-04-17,29.6450
2024-04-18,29.8720
2024-04-19,29.6290
2024-04-22,29.7950
2024-04-23,29.9910
2024-04-24,30.1550
2024-04-25,30.0720
2024-04-26,30.5440
2024-04-29,30.7540
2024-04-30,30.6190
2024-05-02,31.0350
2024-05-03,31.1680
2024-05-06,31.2410
2024-05-07,31.1320
2024-05-08,31.1510
2024-05-09,31.1020
2024-05-10,31.2000
2024-05-13,31.3570
2024-05-14,31.4170
2024-05-15,31.6180
2024-05-16,31.7180
2024-05-17,31.8660
2024-05-20,31.8210
2024-05-21,31.6190
2024-05-22,31.6180
2024-05-23,31.5190
2024-05-24,31.3950
2024-05-27,31.5480
2024-05-28,31.3290
2024-05-29,31.0180
2024-05-30,30.9350
2024-05-31,30.4000
2024-06-03,30.7920
2024-06-04,30.2630
2024-06-05,30.8800
2024-06-06,31.0230
2024-06-07,31.0880
2024-06-10,31.3180
2024-06-11,31.1060
2024-06-12,31.3460
2024-06-13,31.4130
2024-06-14,31.6220
2024-06-17,31.6690
2024-06-18,31.9720
2024-06-19,32.1430
2024-06-20,32.0530
2024-06-21,32.0350
2024-06-24,32.0220
2024-06-25,31.8100
2024-06-26,31.8310
2024-06-27,31.8210
2024-06-28,32.0090
2024-07-01,31.9500
2024-07-02,31.8630
2024-07-03,32.1970
2024-07-04,32.2770
2024-07-05,32.2330
2024-07-08,32.3370
2024-07-09,32.4310
2024-07-10,32.5500
2024-07-11,32.7040
2024-07-12,32.7410
2024-07-15,32.4960
2024-07-16,32.5190
2024-07-17,32.0920
2024-07-18,31.8400
2024-07-19,31.5460
2024-07-22,31.6730
2024-07-23,31.7380
2024-07-24,31.4160
2024-07-25,31.2050
2024-07-26,31.3690
2024-07-29,31.3440
2024-07-30,31.3460
2024-07-31,31.9770
2024-08-01,31.6890
2024-08-02,30.5750
2024-08-05,29.5610
2024-08-06,29.7960
2024-08-07,30.4480
2024-08-08,30.7300
2024-08-09,30.8250
2024-08-12,31.0200
2024-08-13,31.1030
2024-08-14,30.9260
2024-08-15,31.3350
2024-08-16,31.5850
2024-08-19,31.7610
2024-08-20,31.4340
2024-08-21,31.5020
2024-08-22,31.2800
2024-08-23,31.4810
2024-08-26,31.2600
2024-08-27,31.3080
2024-08-28,31.2730
2024-08-29,31.5450
2024-08-30,31.4640
2024-09-02,31.4590
2024-09-03,31.1360
2024-09-04,30.9750
2024-09-05,30.8780
2024-09-06,30.4370
2024-09-09,30.7240
2024-09-10,30.6410
2024-09-11,30.5790
2024-09-12,30.9500
2024-09-13,31.1790
2024-09-16,31.0960
2024-09-17,31.2350
2024-09-18,31.1020
2024-09-19,31.5540
2024-09-20,31.5420
2024-09-23,31.8540
2024-09-24,32.5930
2024-09-25,32.5300
2024-09-26,33.3610
2024-09-27,33.4110
2024-09-30,33.0800
2024-10-01,33.2160
2024-10-02,33.8630
2024-10-03,33.6660
2024-10-04,33.9100
2024-10-07,34.1920
2024-10-08,33.5060
2024-10-09,33.4770
2024-10-10,33.5090
2024-10-11,33.6910
2024-10-14,33.7170
2024-10-15,33.2090
2024-10-16,33.5160
2024-10-17,33.4930
2024-10-18,33.6940
2024-10-21,33.3500
2024-10-22,33.3790
2024-10-23,33.3340
2024-10-24,33.1100
2024-10-25,33.1910
2024-10-28,33.2680
2024-10-29,33.2350
2024-10-30,32.7820
2024-10-31,32.5340
2024-11-01,32.8660
2024-11-04,32.8760
2024-11-05,33.1140
2024-11-06,33.2070
2024-11-07,33.7150
2024-11-08,33.1540
2024-11-11,33.1720
2024-11-12,32.6870
2024-11-13,32.6050
2024-11-14,32.5380
2024-11-15,32.5070
2024-11-18,32.6920
2024-11-19,32.7600
2024-11-20,32.7250
2024-11-21,32.8400
2024-11-22,33.1220
2024-11-25,32.9890
2024-11-26,32.9100
2024-11-27,32.6210
2024-11-28,32.5200
2024-11-29,32.7860
2024-12-02,33.0250
2024-12-03,33.0840
2024-12-04,33.1530
2024-12-05,33.2480
2024-12-06,33.2040
2024-12-09,33.8520
2024-12-10,33.4850
2024-12-11,33.6260
2024-12-12,33.5790
2024-12-13,33.4790
2024-12-16,33.3410
2024-12-17,33.1890
2024-12-18,33.2620
2024-12-19,33.1240
2024-12-20,33.0130
2024-12-23,33.0400
2024-12-24,33.2500
2024-12-27,32.9490
2024-12-30,32.7690
2024-12-31,32.8360
2025-01-02,33.2340
2025-01-03,33.2370
2025-01-06,33.1910
2025-01-07,33.0800
2025-01-08,32.9480
2025-01-09,32.9500
2025-01-10,32.5350
2025-01-13,32.2920
2025-01-14,32.4390
2025-01-15,32.8270
2025-01-16,32.8700
2025-01-17,33.1550
2025-01-20,33.2110
2025-01-21,32.8890
2025-01-22,32.8860
2025-01-23,32.9910
2025-01-24,32.9240
2025-01-27,32.2580
2025-01-28,32.4170
2025-01-29,32.8940
2025-01-30,33.2980
2025-01-31,33.3980
2025-02-03,33.2590
2025-02-04,33.4970
2025-02-05,33.2570
2025-02-06,33.4970
2025-02-07,33.6550
2025-02-10,33.9770
2025-02-11,33.8220
2025-02-12,33.7400
2025-02-13,33.7990
2025-02-14,33.7330
2025-02-17,34.0670
2025-02-18,34.2440
2025-02-19,34.2970
2025-02-20,34.3470
2025-02-21,34.6290
2025-02-24,33.9000
2025-02-25,33.6650
2025-02-26,34.1650
2025-02-27,33.9710
2025-02-28,33.1490
2025-03-03,33.0870
2025-03-04,32.5540
2025-03-05,32.6690
2025-03-06,32.8570
2025-03-07,32.5610
2025-03-10,32.1630
2025-03-11,31.8900
2025-03-12,32.1770
2025-03-13,32.1690
2025-03-14,32.6250
2025-03-17,33.0020
2025-03-18,32.9920
2025-03-19,33.1530
2025-03-20,32.9800
2025-03-21,32.9960
2025-03-24,33.2230
2025-03-25,33.1290
2025-03-26,33.0560
2025-03-27,33.2000
2025-03-28,32.4200
2025-03-31,32.2370
2025-04-01,32.5890
2025-04-02,32.4130
2025-04-03,31.3510
2025-04-04,29.7140
2025-04-07,28.7710
2025-04-08,29.1630
2025-04-09,27.9950
2025-04-10,29.0460
2025-04-11,29.1490
2025-04-14,29.8280
2025-04-15,30.0950
2025-04-16,29.7640
2025-04-17,29.9160
2025-04-22,29.9040
2025-04-23,30.5870
2025-04-24,30.7570
2025-04-25,30.6250
2025-04-28,30.6670
2025-04-29,30.8360
2025-04-30,30.9450
2025-05-02,31.9040
2025-05-05,32.3650
2025-05-06,32.1550
2025-05-07,31.7390
2025-05-08,31.9610
2025-05-09,32.1460
2025-05-12,33.2390
2025-05-13,33.1610
2025-05-14,33.3890
2025-05-15,33.2650
2025-05-16,33.3230
2025-05-19,33.1040
2025-05-20,33.0420
2025-05-21,33.0370
2025-05-22,32.8440
2025-05-23,32.7460
2025-05-26,32.8040
2025-05-27,32.7340
2025-05-28,32.7520
2025-05-29,32.6890
2025-05-30,32.3620
2025-06-02,32.2750
2025-06-03,32.6010
2025-06-04,32.8710
2025-06-05,33.1100
2025-06-06,33.1740
2025-06-09,33.4670
2025-06-10,33.5360
2025-06-11,33.7330
2025-06-12,33.4030
2025-06-13,33.0280
2025-06-16,33.3900
2025-06-17,33.1660
2025-06-18,33.0800
2025-06-19,32.6940
2025-06-20,32.8410
2025-06-23,32.8190
2025-06-24,33.5670
2025-06-25,33.6320
2025-06-26,33.6320
2025-06-27,33.6000
2025-06-30,33.4440
2025-07-01,33.5370
2025-07-02,33.5740
2025-07-03,33.9010
2025-07-04,33.5530
2025-07-07,33.6500
2025-07-08,33.7300
2025-07-09,33.6780
2025-07-10,33.8580
2025-07-11,33.7420
2025-07-14,33.8350
2025-07-15,34.2700
2025-07-16,34.0640
2025-07-17,34.6670
2025-07-18,34.5800
2025-07-21,34.6160
2025-07-22,34.3590
2025-07-23,34.6850
2025-07-24,34.4810
2025-07-25,34.3770
2025-07-28,34.6190
2025-07-29,34.8370
2025-07-30,34.8540
2025-07-31,34.7860
2025-08-01,34.0530
2025-08-04,34.3390
2025-08-05,34.4700
2025-08-06,34.3240
2025-08-07,34.6920
2025-08-08,34.5680
2025-08-11,34.7360
2025-08-12,34.8090
2025-08-13,35.1270
2025-08-14,34.8810
2025-08-15,34.8080
2025-08-18,35.0830
2025-08-19,34.9790
2025-08-20,34.7930
2025-08-21,34.9840
2025-08-22,35.2700
2025-08-25,35.3770
2025-08-26,35.2460
2025-08-27,35.0780
2025-08-28,35.0510
2025-08-29,34.7960
2025-09-01,34.8400
2025-09-02,34.7990
2025-09-03,34.9930
2025-09-04,34.8950
2025-09-05,35.0490
2025-09-08,35.3470
2025-09-09,35.6480
2025-09-10,36.0010
2025-09-11,36.2700
2025-09-12,36.3160
2025-09-15,36.4360
2025-09-16,36.3510
2025-09-17,36.6620
2025-09-18,36.7200
2025-09-19,36.7500
2025-09-22,36.7210
2025-09-23,36.9050
2025-09-24,36.8500
2025-09-25,36.8000
2025-09-26,36.4750
2025-09-29,36.7950
2025-09-30,36.8310
2025-10-01,37.1520
2025-10-02,37.3870
2025-10-03,37.4940
2025-10-06,37.6930
2025-10-07,37.7060
2025-10-08,37.9690
2025-10-09,37.8900
2025-10-10,36.7380
2025-10-13,37.5960
2025-10-14,37.1350
2025-10-15,37.6580
2025-10-16,37.9110
2025-10-17,37.5290
2025-10-20,38.2640
2025-10-21,38.1260
2025-10-22,38.0190
2025-10-23,38.2670
2025-10-27,38.7910
2025-10-28,38.6630
2025-10-29,39.0890
2025-10-30,38.9420
2025-10-31,38.8350
2025-11-03,39.2140
2025-11-04,38.8720
2025-11-05,38.9140
2025-11-06,38.4400
2025-11-07,37.8430
2025-11-10,38.7760
2025-11-11,38.7750
2025-11-12,38.8920
2025-11-13,38.5550
2025-11-14,38.7400
2025-11-17,38.3560
2025-11-18,37.9970
2025-11-19,37.8490
2025-11-20,37.9070
2025-11-21,37.2310
2025-11-24,37.6750
2025-11-25,37.6770
2025-11-26,37.9590
2025-11-27,37.8980
2025-11-28,38.0620
2025-12-01,37.9700
2025-12-02,37.8530
2025-12-03,37.7460
2025-12-04,37.8580
2025-12-05,38.1800
2025-12-08,38.0230
2025-12-09,38.0030
2025-12-10,38.0600
2025-12-11,37.7860
2025-12-12,37.4490
2025-12-15,37.5440
2025-12-16,36.9930
2025-12-17,36.9500
2025-12-18,37.4650
2025-12-19,37.8890
2025-12-22,37.8070
2025-12-23,37.8410
2025-12-24,38.0120
2025-12-29,38.1230
2025-12-30,38.4090
2025-12-31,38.3800
2026-01-02,39.1310
2026-01-05,39.7590
2026-01-06,40.1730
2026-01-07,40.0410
2026-01-08,39.9030
2026-01-09,40.1840
2026-01-12,40.4820
2026-01-13,40.5800
2026-01-14,40.5490
2026-01-15,41.1430
2026-01-16,40.7700
2026-01-19,40.8430
2026-01-20,40.3280
2026-01-21,40.7730
